DATE,CUSIP,ISIN,SEDOL,NAME,TICKER,MARKET_VALUE_LOCAL,MARKET_VALUE_BASE,FUND_WEIGHT,SHARES_HELD,COUPON,MATURITY_DATE,SECTOR,COUNTRY
10/31/2019,D66992104,DE0007164600,4846288,SAP SE COMMON STOCK EUR 0,,"31,722.59","35,391.31",0.4217,267,,1/1/1900,Information Technology,GERMANY
10/31/2019,D0712D163,DE000BAY0017,5069211,BAYER AG COMMON STOCK EUR 0,,"28,912.15","32,255.84",0.3844,416,,1/1/1900,Health Care,GERMANY
10/31/2019,G0593M107,GB0009895292,989529,ASTRAZENECA PLC COMMON STOCK GBP 0.25,,"24,883.66","32,199.46",0.3837,332,,1/1/1900,Health Care,UNITED KINGDOM
10/31/2019,D06216317,DE000BASF111,5086577,BASF SE COMMON STOCK EUR 0,,"28,537.10","31,837.42",0.3794,418,,1/1/1900,Materials,GERMANY
10/31/2019,Y002A1105,HK0000069689,B4TX8S1,AIA GROUP LTD COMMON STOCK HKD 0,1299,"247,485.46","31,576.29",0.3763,"3,155",,1/1/1900,Financials,HONG KONG
10/31/2019,64149107,CA0641491075,2076281,BANK OF NOVA SCOTIA/THE COMMON STOCK CAD 0,BNS,"39,724.68","30,223.82",0.3601,526,,1/1/1900,Financials,CANADA
10/31/2019,J44497105,JP3902900004,6335171,MITSUBISHI UFJ FINANCIAL GROUP INC COMMON STOCK,8306,"3,197,367.57","29,576.50",0.3524,"5,611",,1/1/1900,Financials,JAPAN
10/31/2019,E19790109,ES0113900J37,5705946,BANCO SANTANDER SA COMMON STOCK EUR 0.5,,"26,450.19","29,509.15",0.3516,"7,360",,1/1/1900,Financials,SPAIN
10/31/2019,F58485115,FR0000121014,4061412,LVMH MOET HENNESSY LOUIS VUITTON SE COMMON STOCK,,"26,315.94","29,359.38",0.3498,69,,1/1/1900,Consumer Discretionary,FRANCE
10/31/2019,780087102,CA7800871021,2754383,ROYAL BANK OF CANADA COMMON STOCK CAD 0,RY,"37,706.27","28,688.15",0.3418,355,,1/1/1900,Financials,CANADA
10/31/2019,N07059202,NL0010273215,B929F46,ASML HOLDING NV COMMON STOCK EUR 0.09,,"25,452.54","28,396.13",0.3384,108,,1/1/1900,Information Technology,NETHERLANDS
10/31/2019,G3910J112,GB0009252882,925288,GLAXOSMITHKLINE PLC COMMON STOCK GBP 25,,"21,401.31","27,693.29",0.33,"1,210",,1/1/1900,Health Care,UNITED KINGDOM
10/31/2019,F1058Q238,FR0000131104,7309681,BNP PARIBAS SA COMMON STOCK EUR 2,,"24,456.83","27,285.26",0.3251,522,,1/1/1900,Financials,FRANCE
10/31/2019,891160509,CA8911605092,2897222,TORONTO-DOMINION BANK/THE COMMON STOCK CAD 0,TD,"34,223.01","26,037.97",0.3103,455,,1/1/1900,Financials,CANADA
10/31/2019,F5548N101,FR0000120578,5671735,SANOFI COMMON STOCK EUR 2,,"23,269.80","25,960.96",0.3093,282,,1/1/1900,Health Care,FRANCE
10/31/2019,T3679P115,IT0003128367,7144569,ENEL SPA COMMON STOCK EUR 1,,"22,476.19","25,075.56",0.2988,"3,239",,1/1/1900,Utilities,ITALY
10/31/2019,N8981F289,NL0000388619,B1527V7,UNILEVER NV COMMON STOCK EUR 0.16,,"22,246.51","24,819.32",0.2957,420,,1/1/1900,Consumer Staples,NETHERLANDS
10/31/2019,H9870Y105,CH0011075394,5983816,ZURICH INSURANCE GROUP AG COMMON STOCK CHF 0.1,,"24,424.97","24,752.95",0.295,63,,1/1/1900,Financials,SWITZERLAND
10/31/2019,G5533W248,GB0008706128,870612,LLOYDS BANKING GROUP PLC COMMON STOCK GBP 10,,"18,736.31","24,244.79",0.2889,"32,986",,1/1/1900,Financials,UNITED KINGDOM
10/31/2019,G93882192,GB00BH4HKS39,BH4HKS3,VODAFONE GROUP PLC COMMON STOCK GBP 0.2095,,"18,621.76","24,096.55",0.2871,"11,831",,1/1/1900,Communication Services,UNITED KINGDOM
10/31/2019,D69671218,DE0007236101,5727973,SIEMENS AG COMMON STOCK EUR 0,,"21,478.43","23,962.41",0.2855,208,,1/1/1900,Industrials,GERMANY
10/31/2019,G42089113,GB0002374006,237400,DIAGEO PLC COMMON STOCK GBP 28.93518,,"18,387.40","23,793.29",0.2835,581,,1/1/1900,Consumer Staples,UNITED KINGDOM
10/31/2019,K72807132,DK0060534915,BHC8X90,NOVO NORDISK A/S COMMON STOCK DKK 0.2,,"157,197.84","23,477.78",0.2798,430,,1/1/1900,Health Care,DENMARK
10/31/2019,Q26915100,AU000000CBA7,6215035,COMMONWEALTH BANK OF AUSTRALIA COMMON STOCK AUD 0,CBA,"33,740.05","23,245.21",0.277,429,,1/1/1900,Financials,AUSTRALIA
10/31/2019,D1668R123,DE0007100000,5529027,DAIMLER AG COMMON STOCK EUR 0,,"20,465.94","22,832.83",0.2721,390,,1/1/1900,Consumer Discretionary,GERMANY
10/31/2019,J22302111,JP3854600008,6435145,HONDA MOTOR CO LTD COMMON STOCK JPY,7267,"2,467,325.32","22,823.42",0.272,839,,1/1/1900,Consumer Discretionary,JAPAN
10/31/2019,G77036229,GB0007188757,718875,RIO TINTO PLC COMMON STOCK GBP 10,,"17,554.10","22,715.00",0.2707,437,,1/1/1900,Materials,UNITED KINGDOM
10/31/2019,Q09504137,AU000000ANZ3,6065586,AUSTRALIA & NEW ZEALAND BANKING GROUP LTD COMMON,ANZ,"32,852.88","22,633.99",0.2697,"1,229",,1/1/1900,Financials,AUSTRALIA
10/31/2019,N0280G100,NL0000235190,4012250,AIRBUS SE COMMON STOCK EUR 1,,"19,157.68","21,373.27",0.2547,149,,1/1/1900,Industrials,FRANCE
10/31/2019,J7771X109,JP3890350006,6563024,SUMITOMO MITSUI FINANCIAL GROUP INC COMMON STOCK,8316,"2,296,324.46","21,241.61",0.2531,592,,1/1/1900,Financials,JAPAN
10/31/2019,J11918117,JP3496400007,6248990,KDDI CORP COMMON STOCK JPY,9433,"2,294,922.28","21,228.64",0.253,765,,1/1/1900,Communication Services,JAPAN
10/31/2019,F06106102,FR0000120628,7088429,AXA SA COMMON STOCK EUR 2.29,,"18,860.54","21,041.76",0.2507,796,,1/1/1900,Financials,FRANCE
10/31/2019,J76379106,JP3435000009,6821506,SONY CORP COMMON STOCK JPY,6758,"2,256,430.81","20,872.59",0.2487,341,,1/1/1900,Consumer Discretionary,JAPAN
10/31/2019,H42097107,CH0244767585,BRJL176,UBS GROUP AG COMMON STOCK CHF 0.1,,"20,583.72","20,860.11",0.2486,"1,768",,1/1/1900,Financials,SWITZERLAND
10/31/2019,Q3018U109,AU000000CSL8,6185495,CSL LTD COMMON STOCK AUD 0,CSL,"29,997.53","20,666.79",0.2463,117,,1/1/1900,Health Care,AUSTRALIA
10/31/2019,N4578E595,NL0011821202,BZ57390,ING GROEP NV COMMON STOCK EUR 0.01,,"18,082.43","20,173.67",0.2404,"1,785",,1/1/1900,Financials,NETHERLANDS
10/31/2019,29250N105,CA29250N1050,2466149,ENBRIDGE INC COMMON STOCK CAD 0,ENB,"25,553.04","19,441.58",0.2317,533,,1/1/1900,Energy,CANADA
10/31/2019,F58149133,FR0000120321,4057808,L'OREAL SA COMMON STOCK EUR 0.2,,"17,140.97","19,123.33",0.2279,65,,1/1/1900,Consumer Staples,FRANCE
10/31/2019,Q1498M100,AU000000BHP4,6144690,BHP GROUP LTD COMMON STOCK AUD 0,BHP,"27,623.21","19,031.01",0.2268,768,,1/1/1900,Materials,AUSTRALIA
10/31/2019,960410504,CA9604105044,BYN2G91,WESTJET AIRLINES LTD COMMON STOCK CAD 0,WJA,"24,724.73","18,811.37",0.2242,807,,1/1/1900,Industrials,CANADA
10/31/2019,D55535104,DE0008430026,5294121,MUENCHENER RUECKVERSICHERUNGS-GESELLSCHAFT AG IN,,"16,791.93","18,733.92",0.2232,67,,1/1/1900,Financials,GERMANY
10/31/2019,G8984B101,GB00B1H0DZ51,B1H0DZ5,TP ICAP PLC COMMON STOCK GBP 25,,"14,247.71","18,436.53",0.2197,"4,155",,1/1/1900,Financials,UNITED KINGDOM
10/31/2019,G92087165,GB00B10RZP78,B10RZP7,UNILEVER PLC COMMON STOCK GBP 3.11,,"14,232.51","18,416.87",0.2195,308,,1/1/1900,Consumer Staples,UNITED KINGDOM
10/31/2019,136375102,CA1363751027,2180632,CANADIAN NATIONAL RAILWAY CO COMMON STOCK CAD 0,CNR,"22,949.72","17,460.89",0.2081,195,,1/1/1900,Industrials,CANADA
10/31/2019,T3643A145,IT0003132476,7145056,ENI SPA COMMON STOCK EUR 0,,"15,520.18","17,315.09",0.2063,"1,144",,1/1/1900,Energy,ITALY
10/31/2019,B639CJ108,BE0974293251,BYYHL23,ANHEUSER-BUSCH INBEV SA/NV,,"15,457.90","17,245.60",0.2055,215,,1/1/1900,Consumer Staples,BELGIUM
10/31/2019,J75963108,JP3436100006,6770620,SOFTBANK GROUP CORP COMMON STOCK JPY,9984,"1,834,157.72","16,966.45",0.2022,438,,1/1/1900,Communication Services,JAPAN
10/31/2019,J4599L102,JP3885780001,6591014,MIZUHO FINANCIAL GROUP INC COMMON STOCK JPY,8411,"1,790,917.93","16,566.47",0.1974,"10,610",,1/1/1900,Financials,JAPAN
10/31/2019,T1700N109,IT0000072618,4076836,INTESA SANPAOLO SPA COMMON STOCK EUR 0,,"14,812.93","16,526.04",0.1969,"6,595",,1/1/1900,Financials,ITALY
10/31/2019,E11805103,ES0113211835,5501906,BANCO BILBAO VIZCAYA ARGENTARIA SA COMMON STOCK,,"14,780.02","16,489.33",0.1965,"3,129",,1/1/1900,Financials,SPAIN
10/31/2019,136069101,CA1360691010,2170525,CANADIAN IMPERIAL BANK OF COMMERCE COMMON STOCK,CM,"21,344.64","16,239.69",0.1935,190,,1/1/1900,Financials,CANADA
10/31/2019,G4097Q101,GB00BVC3CB83,BVC3CB8,JOHN LAING GROUP PLC COMMON STOCK GBP 10,,"12,543.54","16,231.34",0.1934,"3,437",,1/1/1900,Industrials,UNITED KINGDOM
10/31/2019,G03764134,GB00B1XZS820,B1XZS82,ANGLO AMERICAN PLC COMMON STOCK GBP 0.54945,,"12,540.01","16,226.77",0.1934,633,,1/1/1900,Materials,UNITED KINGDOM
10/31/2019,G24556170,GB00BYPHNG03,BYPHNG0,COUNTRYSIDE PROPERTIES PLC COMMON STOCK GBP 1,,"12,316.06","15,936.99",0.1899,"3,487",,1/1/1900,Consumer Discretionary,UNITED KINGDOM
10/31/2019,Q97417101,AU000000WBC1,6076146,WESTPAC BANKING CORP COMMON STOCK AUD 0,WBC,"23,097.21","15,912.83",0.1896,819,,1/1/1900,Financials,AUSTRALIA
10/31/2019,G34604101,GB0003452173,345217,FIRSTGROUP PLC COMMON STOCK GBP 5,,"12,277.47","15,887.05",0.1893,"9,510",,1/1/1900,Industrials,UNITED KINGDOM
10/31/2019,J43830116,JP3898400001,6596785,MITSUBISHI CORP COMMON STOCK JPY,8058,"1,694,519.94","15,674.76",0.1868,613,,1/1/1900,Industrials,JAPAN
10/31/2019,E6165F166,ES0144580Y14,B288C92,IBERDROLA SA COMMON STOCK EUR 0.75,,"13,875.86","15,480.60",0.1845,"1,507",,1/1/1900,Utilities,SPAIN
10/31/2019,D94523103,DE0007664039,5497168,VOLKSWAGEN AG PREFERENCE EUR 0,,"13,720.87","15,307.69",0.1824,80,,1/1/1900,Consumer Discretionary,GERMANY
10/31/2019,J32491102,JP3236200006,6490995,KEYENCE CORP COMMON STOCK JPY,6861,"1,643,818.42","15,205.76",0.1812,24,,1/1/1900,Information Technology,JAPAN
10/31/2019,F6866T100,FR0000133308,5176177,ORANGE SA COMMON STOCK EUR 4,,"13,564.31","15,133.02",0.1803,939,,1/1/1900,Communication Services,FRANCE
10/31/2019,13677F101,CA13677F1018,2188283,CANADIAN WESTERN BANK COMMON STOCK CAD 0,CWB,"19,809.73","15,071.88",0.1796,594,,1/1/1900,Financials,CANADA
10/31/2019,J20454112,JP3788600009,6429104,HITACHI LTD COMMON STOCK JPY,6501,"1,627,052.38","15,050.67",0.1793,400,,1/1/1900,Information Technology,JAPAN
10/31/2019,F01764103,FR0000120073,B1YXBJ7,AIR LIQUIDE SA COMMON STOCK EUR 5.5,,"13,446.40","15,001.47",0.1788,113,,1/1/1900,Materials,FRANCE
10/31/2019,56501R106,CA56501R1064,2492519,MANULIFE FINANCIAL CORP COMMON STOCK CAD 0,MFC,"19,566.83","14,887.08",0.1774,798,,1/1/1900,Financials,CANADA
10/31/2019,G3224V108,GB0000961622,96162,BALFOUR BEATTY PLC COMMON STOCK GBP 50,,"11,483.22","14,859.28",0.1771,"5,095",,1/1/1900,Industrials,UNITED KINGDOM
10/31/2019,J86298106,JP3910660004,6513126,TOKIO MARINE HOLDINGS INC COMMON STOCK JPY,8766,"1,598,881.33","14,790.08",0.1762,272,,1/1/1900,Financials,JAPAN
10/31/2019,879382109,ES0178430E18,5732524,TELEFONICA SA COMMON STOCK EUR 1,,"13,025.26","14,531.63",0.1732,"1,895",,1/1/1900,Communication Services,SPAIN
10/31/2019,J2501P104,JP3143600009,6467803,ITOCHU CORP COMMON STOCK JPY,8001,"1,569,074.55","14,514.36",0.173,691,,1/1/1900,Industrials,JAPAN
10/31/2019,D0066B185,DE000A1EWWW0,4031976,ADIDAS AG COMMON STOCK EUR 0,,"13,012.47","14,517.36",0.173,47,,1/1/1900,Consumer Discretionary,GERMANY
10/31/2019,G39420107,JE00B4T3BW64,B4T3BW6,GLENCORE PLC COMMON STOCK GBP 0.01,,"11,191.72","14,482.09",0.1726,"4,811",,1/1/1900,Materials,UNITED KINGDOM
10/31/2019,G08036124,GB0031348658,3134865,BARCLAYS PLC COMMON STOCK GBP 25,,"11,121.26","14,390.91",0.1715,"6,628",,1/1/1900,Financials,UNITED KINGDOM
10/31/2019,136385101,CA1363851017,2171573,CANADIAN NATURAL RESOURCES LTD COMMON STOCK CAD 0,CNQ,"18,731.19","14,251.29",0.1698,564,,1/1/1900,Energy,CANADA
10/31/2019,J44690139,JP3893600001,6597302,MITSUI & CO LTD COMMON STOCK JPY,8031,"1,539,756.10","14,243.15",0.1697,825,,1/1/1900,Industrials,JAPAN
10/31/2019,J8129E108,JP3463000004,6870445,TAKEDA PHARMACEUTICAL CO LTD COMMON STOCK JPY,4502,"1,536,512.73","14,213.15",0.1694,391,,1/1/1900,Health Care,JAPAN
10/31/2019,D2035M136,DE0005557508,5842359,DEUTSCHE TELEKOM AG COMMON STOCK EUR 0,,"12,674.32","14,140.11",0.1685,804,,1/1/1900,Communication Services,GERMANY
10/31/2019,F86921107,FR0000121972,4834108,SCHNEIDER ELECTRIC SE COMMON STOCK EUR 4,,"12,590.86","14,047.00",0.1674,151,,1/1/1900,Industrials,FRANCE
10/31/2019,F4035A557,FR0000073272,B058TZ6,SAFRAN SA COMMON STOCK EUR 0.2,,"12,368.17","13,798.55",0.1644,87,,1/1/1900,Industrials,FRANCE
10/31/2019,J59396101,JP3735400008,6641373,NIPPON TELEGRAPH & TELEPHONE CORP COMMON STOCK JPY,9432,"1,488,603.40","13,769.98",0.1641,277,,1/1/1900,Communication Services,JAPAN
10/31/2019,N0074E105,NL0011794037,BD0Q398,KONINKLIJKE AHOLD DELHAIZE NV COMMON STOCK EUR,,"12,302.86","13,725.69",0.1636,551,,1/1/1900,Consumer Staples,NETHERLANDS
10/31/2019,G74079107,GB00B24CGK77,B24CGK7,RECKITT BENCKISER GROUP PLC COMMON STOCK GBP 10,,"10,603.38","13,720.77",0.1635,178,,1/1/1900,Consumer Staples,UNITED KINGDOM
10/31/2019,J6433A101,JP3970300004,BQRRZ00,RECRUIT HOLDINGS CO LTD COMMON STOCK JPY,6098,"1,475,859.02","13,652.09",0.1627,409,,1/1/1900,Industrials,JAPAN
10/31/2019,152006102,CA1520061021,B01NXQ4,CENTERRA GOLD INC COMMON STOCK CAD 0,CG,"17,900.36","13,619.17",0.1623,"1,594",,1/1/1900,Materials,CANADA
10/31/2019,H3698D419,CH0012138530,7171589,CREDIT SUISSE GROUP AG COMMON STOCK CHF 0.04,,"13,426.62","13,606.91",0.1621,"1,098",,1/1/1900,Financials,SWITZERLAND
10/31/2019,G12698109,GB0001859296,185929,BOVIS HOMES GROUP PLC COMMON STOCK GBP 50,,"10,488.37","13,571.95",0.1617,896,,1/1/1900,Consumer Discretionary,UNITED KINGDOM
10/31/2019,74139C102,CA74139C1023,B57Q8S9,PRETIUM RESOURCES INC COMMON STOCK CAD 0,PVG,"17,807.51","13,548.53",0.1614,"1,342",,1/1/1900,Materials,CANADA
10/31/2019,F5879X108,FR0000125486,B1XH026,VINCI SA COMMON STOCK EUR 2.5,,"12,129.35","13,532.10",0.1612,121,,1/1/1900,Industrials,FRANCE
10/31/2019,G6376N154,GB00B2NGPM57,B2NGPM5,PARAGON BANKING GROUP PLC,,"10,364.78","13,412.02",0.1598,"2,059",,1/1/1900,Financials,UNITED KINGDOM
10/31/2019,D00379111,DE0005408116,7380062,AAREAL BANK AG COMMON STOCK EUR 0,,"11,982.13","13,367.86",0.1593,398,,1/1/1900,Financials,GERMANY
10/31/2019,112585104,CA1125851040,2092599,BROOKFIELD ASSET MANAGEMENT INC COMMON STOCK CAD 0,BAM.A,"17,562.23","13,361.91",0.1592,241,,1/1/1900,Financials,CANADA
10/31/2019,T1322N107,IT0000066123,4116099,BPER BANCA COMMON STOCK EUR 3,,"11,958.00","13,340.95",0.159,"2,984",,1/1/1900,Financials,ITALY
10/31/2019,G3002S103,GB00B1L8B624,B1L8B62,EI GROUP PLC COMMON STOCK GBP 2.5,,"10,120.54","13,095.98",0.156,"3,594",,1/1/1900,Consumer Discretionary,UNITED KINGDOM
10/31/2019,H8431B109,CH0126881561,B545MG5,SWISS RE AG COMMON STOCK CHF 0.1,,"12,877.08","13,050.00",0.1555,125,,1/1/1900,Financials,SWITZERLAND
10/31/2019,T9T23L642,IT0005239360,BYMXPS7,UNICREDIT SPA COMMON STOCK EUR 0,,"11,600.11","12,941.66",0.1542,"1,020",,1/1/1900,Financials,ITALY
10/31/2019,87807B107,CA87807B1076,BJMY6G0,TC ENERGY CORP COMMON STOCK CAD 0,TRP,"16,914.36","12,868.99",0.1533,255,,1/1/1900,Energy,CANADA
10/31/2019,63671101,CA0636711016,2076009,BANK OF MONTREAL COMMON STOCK CAD 0,BMO,"16,869.59","12,834.93",0.1529,173,,1/1/1900,Financials,CANADA
10/31/2019,D5566D102,DE0006766504,5485527,AURUBIS AG COMMON STOCK EUR 0,,"11,356.89","12,670.31",0.151,258,,1/1/1900,Materials,GERMANY
10/31/2019,F7629A107,FR0010208488,B0C2CQ3,ENGIE SA COMMON STOCK EUR 1,,"11,297.12","12,603.63",0.1502,753,,1/1/1900,Utilities,FRANCE
10/31/2019,G6469B109,GB00B4Y7R145,B4Y7R14,DIXONS CARPHONE PLC COMMON STOCK GBP 0.1,,"9,700.52","12,552.48",0.1496,"7,391",,1/1/1900,Consumer Discretionary,UNITED KINGDOM
10/31/2019,Q65336119,AU000000NAB4,6624608,NATIONAL AUSTRALIA BANK LTD COMMON STOCK AUD 0,NAB,"18,110.36","12,477.13",0.1487,633,,1/1/1900,Financials,AUSTRALIA
10/31/2019,G7493L105,GB00B2B0DG97,B2B0DG9,RELX PLC COMMON STOCK GBP 14.4397,,"9,618.90","12,446.86",0.1483,518,,1/1/1900,Industrials,UNITED KINGDOM
10/31/2019,F12033134,FR0000120644,B1Y9TB3,DANONE SA COMMON STOCK EUR 0.25,,"11,152.88","12,442.71",0.1483,150,,1/1/1900,Consumer Staples,FRANCE
10/31/2019,J72810120,JP3371200001,6804585,SHIN-ETSU CHEMICAL CO LTD COMMON STOCK JPY,4063,"1,344,680.16","12,438.65",0.1482,111,,1/1/1900,Materials,JAPAN
10/31/2019,J04578126,JP3830800003,6132101,BRIDGESTONE CORP COMMON STOCK JPY,5108,"1,332,435.61","12,325.38",0.1469,295,,1/1/1900,Consumer Discretionary,JAPAN
10/31/2019,D1R83Y100,DE0008019001,BYM6917,DEUTSCHE PFANDBRIEFBANK AG COMMON STOCK EUR 0,,"10,839.55","12,093.15",0.1441,885,,1/1/1900,Financials,GERMANY
10/31/2019,J05124144,JP3242800005,6172323,CANON INC COMMON STOCK JPY,7751,"1,304,937.78","12,071.02",0.1438,441,,1/1/1900,Information Technology,JAPAN
10/31/2019,J05523105,JP3566800003,6183552,CENTRAL JAPAN RAILWAY CO COMMON STOCK JPY,9022,"1,301,747.71","12,041.51",0.1435,58,,1/1/1900,Industrials,JAPAN
10/31/2019,G6S9A7120,GB00BDR05C01,BDR05C0,NATIONAL GRID PLC COMMON STOCK GBP 12.43129,,"9,059.16","11,722.56",0.1397,"1,005",,1/1/1900,Utilities,UNITED KINGDOM
10/31/2019,867224107,CA8672241079,B3NB1P2,SUNCOR ENERGY INC COMMON STOCK CAD 0,SU,"15,124.88","11,507.50",0.1371,386,,1/1/1900,Energy,CANADA
10/31/2019,G72899100,GB0007099541,709954,PRUDENTIAL PLC COMMON STOCK GBP 5,,"8,891.86","11,506.06",0.1371,659,,1/1/1900,Financials,UNITED KINGDOM
10/31/2019,G6769K106,GB00BM7S7K96,BM7S7K9,ONESAVINGS BANK PLC COMMON STOCK GBP 1,,"8,876.08","11,485.64",0.1369,"2,466",,1/1/1900,Financials,UNITED KINGDOM
10/31/2019,51925D106,CA51925D1069,2077347,LAURENTIAN BANK OF CANADA COMMON STOCK CAD 0,LB,"15,058.58","11,457.06",0.1365,332,,1/1/1900,Financials,CANADA
10/31/2019,G84228157,GB0004082847,408284,STANDARD CHARTERED PLC COMMON STOCK GBP 0.5,,"8,695.49","11,251.96",0.1341,"1,240",,1/1/1900,Financials,UNITED KINGDOM
10/31/2019,F5433L103,FR0000121485,5505072,KERING SA COMMON STOCK EUR 4,,"10,078.70","11,244.30",0.134,20,,1/1/1900,Consumer Discretionary,FRANCE
10/31/2019,G78283119,GB00B135BJ46,B135BJ4,SAVILLS PLC COMMON STOCK GBP 2.5,,"8,618.60","11,152.46",0.1329,939,,1/1/1900,Real Estate,UNITED KINGDOM
10/31/2019,G2904K127,GB00B1VNSX38,B1VNSX3,DRAX GROUP PLC COMMON STOCK GBP 11.55172,,"8,602.60","11,131.76",0.1326,"2,898",,1/1/1900,Utilities,UNITED KINGDOM
10/31/2019,G21765105,KYG217651051,BW9P816,CK HUTCHISON HOLDINGS LTD COMMON STOCK HKD 1,1,"87,134.92","11,117.41",0.1325,"1,202",,1/1/1900,Industrials,HONG KONG
10/31/2019,J51699106,JP3756600007,6639550,NINTENDO CO LTD COMMON STOCK JPY,7974,"1,195,792.22","11,061.40",0.1318,31,,1/1/1900,Communication Services,JAPAN
10/31/2019,N7637U112,NL0000009538,5986622,KONINKLIJKE PHILIPS NV COMMON STOCK EUR 0.2,,"9,870.82","11,012.38",0.1312,251,,1/1/1900,Health Care,NETHERLANDS
10/31/2019,G7132V100,IM00B7S9G985,B7S9G98,PLAYTECH PLC COMMON STOCK GBP 0,,"8,485.16","10,979.80",0.1308,"2,161",,1/1/1900,Consumer Discretionary,UNITED KINGDOM
10/31/2019,Q49809108,AU000000IFL2,6714394,IOOF HOLDINGS LTD COMMON STOCK AUD 0,IFL,"15,926.04","10,972.24",0.1307,"2,158",,1/1/1900,Financials,AUSTRALIA
10/31/2019,D6T0B6130,DE000SHA0159,BZ1DNL4,SCHAEFFLER AG PREFERENCE EUR,,"9,810.31","10,944.88",0.1304,"1,298",,1/1/1900,Consumer Discretionary,GERMANY
10/31/2019,866796105,CA8667961053,2566124,SUN LIFE FINANCIAL INC COMMON STOCK CAD 0,SLF,"14,289.22","10,871.70",0.1295,242,,1/1/1900,Financials,CANADA
10/31/2019,J27869106,JP3726800000,6474535,JAPAN TOBACCO INC COMMON STOCK JPY,2914,"1,171,096.11","10,832.95",0.1291,477,,1/1/1900,Consumer Staples,JAPAN
10/31/2019,J12075107,JP3551500006,6640381,DENSO CORP COMMON STOCK JPY,6902,"1,159,837.95","10,728.81",0.1278,229,,1/1/1900,Consumer Discretionary,JAPAN
10/31/2019,G2657C132,GB00B1722W11,B1722W1,DART GROUP PLC COMMON STOCK GBP 1.25,,"8,272.33","10,704.40",0.1276,654,,1/1/1900,Industrials,UNITED KINGDOM
10/31/2019,T0409R106,IT0004998065,BLLJ381,ANIMA HOLDING SPA COMMON STOCK EUR 0,,"9,564.63","10,670.78",0.1272,"2,460",,1/1/1900,Financials,ITALY
10/31/2019,Q30297115,AU000000CSR5,6238645,CSR LTD COMMON STOCK AUD 0,CSR,"15,355.51","10,579.18",0.1261,"3,709",,1/1/1900,Materials,AUSTRALIA
10/31/2019,J11257102,JP3475350009,B0J7D91,DAIICHI SANKYO CO LTD COMMON STOCK JPY,4568,"1,143,278.92","10,575.63",0.126,160,,1/1/1900,Health Care,JAPAN
10/31/2019,F72027109,FR0000120693,4682329,PERNOD RICARD SA COMMON STOCK EUR 1.55,,"9,357.12","10,439.27",0.1244,57,,1/1/1900,Consumer Staples,FRANCE
10/31/2019,J1346E100,JP3802300008,6332439,FAST RETAILING CO LTD COMMON STOCK JPY,9983,"1,127,010.06","10,425.14",0.1242,17,,1/1/1900,Consumer Discretionary,JAPAN
10/31/2019,J10038115,JP3481800005,6250724,DAIKIN INDUSTRIES LTD COMMON STOCK JPY,6367,"1,118,287.33","10,344.46",0.1233,73,,1/1/1900,Industrials,JAPAN
